Matrix Size (n),Seconds,GFLOPS,Precision
2000, 0.032139, 497.843095,Single
2000, 0.070117, 228.189127,Double
2500, 0.057476, 543.709446,Single
2500, 0.099865, 312.921875,Double
3000, 0.073751, 732.194395,Single
3000, 0.137004, 394.147931,Double
3500, 0.091227, 939.967514,Single
3500, 0.205748, 416.772940,Double
4000, 0.103367, 1238.304612,Single
4000, 0.269065, 475.720654,Double
4500, 0.113437, 1606.622929,Single
4500, 0.391578, 465.424599,Double
5000, 0.201360, 1241.555720,Single
5000, 0.525942, 475.337335,Double
5500, 0.265348, 1254.014968,Single
5500, 0.672154, 495.049937,Double
6000, 0.360052, 1199.825275,Single
6000, 0.825594, 523.259884,Double
6500, 0.526395, 1043.418166,Single
6500, 1.099557, 499.519220,Double
7000, 0.680560, 1007.993743,Single
7000, 1.371751, 500.090835,Double
7500, 0.866699, 973.520852,Single
7500, 1.653937, 510.146407,Double
8000, 1.043897, 980.939871,Single
8000, 1.916873, 534.203326,Double
8500, 1.297768, 946.432757,Single
8500, 2.398339, 512.125358,Double
9000, 1.484263, 982.305685,Single
9000, 2.802443, 520.260321,Double
9500, 1.612184, 1063.619225,Single
9500, 3.238958, 529.414051,Double
10000, 1.832348, 1091.495935,Single
10000, 3.740059, 534.750911,Double
10500, 2.142672, 1080.543207,Single
10500, 3.722004, 622.043917,Double
11000, 2.424081, 1098.148097,Single
11000, 4.534831, 587.011908,Double
11500, 2.696166, 1128.176091,Single
11500, 4.163524, 730.571002,Double
12000, 3.008166, 1148.872950,Single
12000, 4.164404, 829.890733,Double
12500, 3.291283, 1186.847024,Single
12500, 4.317273, 904.795612,Double
13000, 3.780146, 1162.389048,Single
13000, 4.715844, 931.752683,Double
13500, 3.960827, 1242.354112,Single
13500, 4.286882, 1147.862320,Double
14000, 3.653219, 1502.236698,Single
14000, 6.587768, 833.059124,Double
14500, 4.839584, 1259.870615,Single
14500, 5.487737, 1111.068240,Double
15000, 3.681672, 1833.405945,Single
15000, 6.584968, 1025.061909,Double
15500, 5.690561, 1308.790040,Single
15500, 7.199072, 1034.543023,Double
16000, 4.779799, 1713.879435,Single
16000, 10.798564, 758.619420,Double
16500, 4.865184, 1846.641256,Single
16500, 12.045505, 745.859164,Double
17000, 5.605431, 1752.942712,Single
17000, 11.064142, 888.094196,Double
17500, 5.007703, 2140.452341,Single
17500, 15.443359, 694.068545,Double
18000, 6.040852, 1930.853621,Single
18000, 16.795480, 694.472555,Double
18500, 6.630042, 1909.980455,Single
18500, 16.780881, 754.623683,Double
19000, 9.350427, 1467.098721,Single
19000, 20.282244, 676.355157,Double
19500, 7.211556, 2056.387094,Single
19500, 21.474589, 690.571999,Double
20000, 11.830850, 1352.396480,Single
20000, 21.112600, 757.841291,Double
